intervenant,parti,intervention,text_cleaned,emotions
Stéphanie Rist,REN,"
Je vous renvoie au texte : l'objectif de l'index est de susciter la négociation sociale dans chaque entreprise. En supprimant cet index, vous retirez un outil aux syndicats. ",je vous renvoie au texte  l'objectif de l'index est de susciter la négociation sociale dans chaque entreprise. en supprimant cet index vous retirez un outil aux syndicats.,"[{'label': 'joy', 'score': 0.6688270568847656}]"
Stéphanie Rist,REN,"
Je ne comprends donc pas votre volonté de le supprimer. ",je ne comprends donc pas votre volonté de le supprimer.,"[{'label': 'joy', 'score': 0.608237624168396}]"
Sylvain Maillard,REN,"
Elle a raison ! ",elle a raison ,"[{'label': 'joy', 'score': 0.9148102402687073}]"
Valérie Rabault,SOC,"
La parole est à M. Manuel Bompard, pour un rappel au règlement. ",la parole est à m. manuel bompard pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.6424503326416016}]"
Manuel Bompard,LFI,"
Il se fonde sur l'article 100 relatif à la bonne tenue des débats. Il est vingt-trois heures et nous débattons de l'article 2. Nous venons de terminer l'examen d'une série d'amendements – aucun de notre groupe –, portant sur un sujet intéressant. Compte tenu de la disposition législative que vous avez choisie pour examiner ce texte, il ne nous reste que quelques jours – jusqu'à vendredi prochain. Dans une heure la séance sera levée et les débats ne devraient reprendre que lundi après-midi. Nous allons donc perdre beaucoup de temps, alors que nous en avons déjà perdu cet après-midi en raison d'une manœuvre assez honteuse de la minorité présidentielle. ",il se fonde sur l'article  relatif à la bonne tenue des débats. il est vingttrois heures et nous débattons de l'article  nous venons de terminer l'examen d'une série d'amendements – aucun de notre groupe – portant sur un sujet intéressant. compte tenu de la disposition législative que vous avez choisie pour examiner ce texte il ne nous reste que quelques jours – jusqu'à vendredi prochain. dans une heure la séance sera levée et les débats ne devraient reprendre que lundi aprèsmidi. nous allons donc perdre beaucoup de temps alors que nous en avons déjà perdu cet aprèsmidi en raison d'une manœuvre assez honteuse de la minorité présidentielle.,"[{'label': 'anger', 'score': 0.46375128626823425}, {'label': 'joy', 'score': 0.6625081896781921}]"
Manuel Bompard,LFI,"
Puisque, tout à l'heure, il a été possible de réunir très rapidement le bureau de l'Assemblée nationale, je vous demande, madame la présidente, de réunir une conférence des présidents afin d'ouvrir des séances samedi et dimanche. Nous aurions ainsi davantage de temps pour débattre de ce texte très important pour la vie des Françaises et des Français. ",puisque tout à l'heure il a été possible de réunir très rapidement le bureau de l'assemblée nationale je vous demande madame la présidente de réunir une conférence des présidents afin d'ouvrir des séances samedi et dimanche. nous aurions ainsi davantage de temps pour débattre de ce texte très important pour la vie des françaises et des français.,"[{'label': 'joy', 'score': 0.6122186183929443}]"
Manuel Bompard,LFI,"
Si cette demande est refusée, nous en tirerons une conclusion simple : vous ne voulez pas sérieusement débattre de ce texte de loi sur les retraites.Nous sommes prêts à siéger demain, même si nous appelons celles et ceux qui nous écoutent à aller manifester. ",si cette demande est refusée nous en tirerons une conclusion simple  vous ne voulez pas sérieusement débattre de ce texte de loi sur les retraites.nous sommes prêts à siéger demain même si nous appelons celles et ceux qui nous écoutent à aller manifester.,"[{'label': 'anger', 'score': 0.8244955539703369}]"
Valérie Rabault,SOC,"
La parole est à M. Arthur Delaporte, pour un rappel au règlement. ",la parole est à m. arthur delaporte pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.6435442566871643}]"
Arthur Delaporte,SOC,"
Qui se fonde sur le même article 100. Je vais aller dans le sens de mon collègue Bompard : nous avons examiné aujourd'hui l'article 2 et nous attendons des réponses à plusieurs de nos questions. Nous souhaitons que le Gouvernement éclaire à la fois la représentation nationale et l'ensemble des Français sur cette réforme, dont l'enjeu est majeur pour la vie de millions d'entre eux.Il faut absolument que les débats avancent. C'est pourquoi nous demandons également la tenue d'une conférence des présidents , ",qui se fonde sur le même article  je vais aller dans le sens de mon collègue bompard  nous avons examiné aujourd'hui l'article  et nous attendons des réponses à plusieurs de nos questions. nous souhaitons que le gouvernement éclaire à la fois la représentation nationale et l'ensemble des français sur cette réforme dont l'enjeu est majeur pour la vie de millions d'entre eux.il faut absolument que les débats avancent. c'est pourquoi nous demandons également la tenue d'une conférence des présidents ,"[{'label': 'joy', 'score': 0.5545294880867004}]"
Arthur Delaporte,SOC,"
pour décider de l'ouverture des séances de ce week-end. Plus précisément, nous renouvelons cette demande, puisque nous l'avions déjà formulée.En outre, nous avions sollicité un report de la niche parlementaire du groupe Socialistes et apparentés, qui a occupé une journée entière de débats hier. Nous nous réjouissons bien sûr du vote des propositions de loi intervenu à cette occasion et nous regrettons l'obstruction de la majorité. Toutefois, si cette niche avait été décalée, nous aurions pu accorder plus de temps au débat qui nous occupe. Dans l'intérêt du pays, ouvrons les séances du week-end , ",pour décider de l'ouverture des séances de ce weekend. plus précisément nous renouvelons cette demande puisque nous l'avions déjà formulée.en outre nous avions sollicité un report de la niche parlementaire du groupe socialistes et apparentés qui a occupé une journée entière de débats hier. nous nous réjouissons bien sûr du vote des propositions de loi intervenu à cette occasion et nous regrettons l'obstruction de la majorité. toutefois si cette niche avait été décalée nous aurions pu accorder plus de temps au débat qui nous occupe. dans l'intérêt du pays ouvrons les séances du weekend ,"[{'label': 'anger', 'score': 0.7449284791946411}]"
Arthur Delaporte,SOC,"
prenons le temps sereinement de progresser, dans de bonnes conditions, comme nous sommes parvenus à le faire ce soir. ",prenons le temps sereinement de progresser dans de bonnes conditions comme nous sommes parvenus à le faire ce soir.,"[{'label': 'joy', 'score': 0.7730920314788818}]"
Valérie Rabault,SOC,"
La parole est à M. Sylvain Maillard, pour un rappel au règlement. ",la parole est à m. sylvain maillard pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.7164892554283142}]"
Sylvain Maillard,REN,"
Il se fonde également sur l'article 100 relatif à la bonne tenue des débats. Nous avons encore toute une semaine de débats : ",il se fonde également sur l'article  relatif à la bonne tenue des débats. nous avons encore toute une semaine de débats ,"[{'label': 'joy', 'score': 0.9067342877388}]"
Sylvain Maillard,REN,"
retirez vos amendements ! ",retirez vos amendements ,"[{'label': 'joy', 'score': 0.5806043744087219}]"
Sylvain Maillard,REN,"
Sur les 16 000 amendements restant à examiner, plus de 12 000 ont été déposés par La France insoumise !Si j'ai bien compris, demain vous allez marcher. ",sur les   amendements restant à examiner plus de   ont été déposés par la france insoumise si j'ai bien compris demain vous allez marcher.,"[{'label': 'joy', 'score': 0.7285810708999634}]"
Ugo Bernalicis,LFI,"
En marche, en marche, en marche ! ",en marche en marche en marche ,"[{'label': 'anger', 'score': 0.9090955257415771}]"
Sylvain Maillard,REN,"
Dimanche, vous pouvez retirer des amendements : là où il y en a vingt-cinq, vous n'en gardez qu'un. Nous aurons ainsi le temps de travailler sereinement la semaine prochaine. ",dimanche vous pouvez retirer des amendements  là où il y en a vingtcinq vous n'en gardez qu'un. nous aurons ainsi le temps de travailler sereinement la semaine prochaine.,"[{'label': 'joy', 'score': 0.6865661144256592}]"
Sophia Chikirou,LFI,"
On veut siéger ce week-end ! ",on veut siéger ce weekend ,"[{'label': 'anger', 'score': 0.6917402744293213}]"
Valérie Rabault,SOC,"
La parole est à Mme Cyrielle Chatelain, pour un rappel au règlement. ",la parole est à mme cyrielle chatelain pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.5498219728469849}]"
Cyrielle Chatelain,ECO,"
Il se fonde lui aussi sur l'article 100. Je souscris à la demande de mes collègues d'ouvrir des séances ce week-end. Votre position est claire : vous ne souhaitez pas le débat. Ces amendements ont une vocation : tenir, dans l'hémicycle, le débat que nous avons dans la rue et que nous aurons demain lors de la manifestation. ",il se fonde lui aussi sur l'article  je souscris à la demande de mes collègues d'ouvrir des séances ce weekend. votre position est claire  vous ne souhaitez pas le débat. ces amendements ont une vocation  tenir dans l'hémicycle le débat que nous avons dans la rue et que nous aurons demain lors de la manifestation.,"[{'label': 'joy', 'score': 0.46591803431510925}]"
Cyrielle Chatelain,ECO,"
Qu'avez-vous à dire sur l'impact de cette réforme sur les femmes ? Reconnaissez que le minimum contributif que vous avez vendu n'existe pas ! ",qu'avezvous à dire sur l'impact de cette réforme sur les femmes  reconnaissez que le minimum contributif que vous avez vendu n'existe pas ,"[{'label': 'joy', 'score': 0.5683190226554871}]"
Cyrielle Chatelain,ECO,"
Reconnaissez que ce sont les femmes et les Français âgés de 55 à 65 ans qui paieront le prix fort de cette réforme ! Ces amendements ont pour objectif de parler du fond. ",reconnaissez que ce sont les femmes et les français âgés de  à  ans qui paieront le prix fort de cette réforme  ces amendements ont pour objectif de parler du fond.,"[{'label': 'joy', 'score': 0.6726077795028687}]"
Cyrielle Chatelain,ECO,"
Vous avez les moyens de nous donner deux jours supplémentaires. ",vous avez les moyens de nous donner deux jours supplémentaires.,"[{'label': 'joy', 'score': 0.8916946649551392}]"
Frédéric Petit,MODEM,"
On n'y arrivera pas ! ",on n'y arrivera pas ,"[{'label': 'joy', 'score': 0.6819368004798889}]"
Cyrielle Chatelain,ECO,"
Reconnaissez devant les Français que ce vendredi aurait dû être la première journée complète consacrée à ce texte : ouvrez, s'il vous plaît, les séances de ce week-end, que nous puissions débattre calmement. ",reconnaissez devant les français que ce vendredi aurait dû être la première journée complète consacrée à ce texte  ouvrez s'il vous plaît les séances de ce weekend que nous puissions débattre calmement.,"[{'label': 'joy', 'score': 0.9536426663398743}]"
Valérie Rabault,SOC,"
La parole est à M. Jean-Paul Mattei, pour un rappel au règlement. ",la parole est à m. jeanpaul mattei pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.6242313981056213}]"
Jean-Paul Mattei,MODEM,"
Qui se fonde également sur l'article 100. Il reste plus de 15 000 amendements : si l'on compte deux minutes pour défendre un amendement, cela correspond à cinq cents heures, soit soixante jours. ",qui se fonde également sur l'article  il reste plus de   amendements  si l'on compte deux minutes pour défendre un amendement cela correspond à cinq cents heures soit soixante jours.,"[{'label': 'joy', 'score': 0.6766351461410522}]"
Sarah Legrain,LFI,"
C'est notre conception de la valeur travail ! ",c'est notre conception de la valeur travail ,"[{'label': 'joy', 'score': 0.9060930609703064}]"
Jean-Paul Mattei,MODEM,"
Ouvrir des séances ce week-end ne changera donc pas les choses. Si vous vous concentrez sur les amendements importants , ",ouvrir des séances ce weekend ne changera donc pas les choses. si vous vous concentrez sur les amendements importants ,"[{'label': 'joy', 'score': 0.8575933575630188}]"
Jean-Paul Mattei,MODEM,"
qui me semblent légitimes, on peut tout à fait débattre du texte la semaine prochaine, en prenant notre temps. Sélectionnez vos amendements et nous pourrons avancer. Soixante jours de plus, ce n'est pas sérieux ! ",qui me semblent légitimes on peut tout à fait débattre du texte la semaine prochaine en prenant notre temps. sélectionnez vos amendements et nous pourrons avancer. soixante jours de plus ce n'est pas sérieux ,"[{'label': 'joy', 'score': 0.7189038991928101}]"
